CustomerID,customer_type
17850,wholesaler
13047,wholesaler
12583,wholesaler
13748,private
15100,private
15291,wholesaler
14688,wholesaler
17809,wholesaler
15311,wholesaler
16098,private
18074,private
17420,private
16029,wholesaler
16250,private
12431,wholesaler
17511,wholesaler
13705,private
13747,private
13408,wholesaler
13767,wholesaler
17924,wholesaler
13448,wholesaler
15862,private
15513,wholesaler
12791,private
16218,wholesaler
14045,private
14307,wholesaler
17908,private
17920,wholesaler
12838,private
13255,private
16583,private
18085,private
13758,wholesaler
13694,wholesaler
15983,private
14849,wholesaler
17968,private
16210,wholesaler
17897,private
17377,wholesaler
16552,private
17181,private
17951,private
14729,private
12748,wholesaler
15012,private
12868,private
17572,private
14078,private
14001,private
12662,wholesaler
15525,private
14237,private
17905,private
15485,wholesaler
12433,wholesaler
16955,private
15350,private
15605,private
18144,wholesaler
15922,private
14594,private
15165,private
14911,wholesaler
16456,wholesaler
17346,wholesaler
17643,private
17841,wholesaler
17873,wholesaler
13093,wholesaler
12921,wholesaler
13468,wholesaler
17760,private
16928,wholesaler
16048,private
16274,private
14496,private
14696,wholesaler
16539,private
17025,private
13777,wholesaler
17690,wholesaler
12947,wholesaler
17460,private
18229,wholesaler
14142,private
17069,wholesaler
13065,private
14606,wholesaler
16835,private
15235,wholesaler
13576,wholesaler
18011,private
13090,wholesaler
15694,wholesaler
14741,private
13715,private
17732,private
12855,private
15752,wholesaler
17855,private
14047,private
17925,private
13941,wholesaler
17017,wholesaler
14135,wholesaler
13108,private
15601,wholesaler
13418,wholesaler
15658,private
14388,wholesaler
14901,private
18041,wholesaler
15955,wholesaler
15070,private
16244,private
15111,private
14390,wholesaler
16546,private
15260,private
13305,wholesaler
14491,private
14060,wholesaler
15923,private
16752,private
17287,private
15363,private
12915,private
15544,wholesaler
15738,wholesaler
17381,wholesaler
15827,private
14180,private
13117,private
16916,private
17964,private
14466,wholesaler
17235,private
16510,private
17802,private
15107,private
17976,private
14449,private
16781,private
13491,private
16186,wholesaler
17685,wholesaler
17581,wholesaler
15732,private
13138,private
15823,private
17567,wholesaler
15061,wholesaler
16203,private
15640,wholesaler
15574,private
16770,private
17838,wholesaler
17228,wholesaler
14829,private
17412,private
14031,wholesaler
14775,wholesaler
12971,wholesaler
17659,wholesaler
15299,wholesaler
15646,private
13402,private
17757,wholesaler
13011,private
13798,wholesaler
16754,wholesaler
16634,private
18239,private
14576,private
13145,private
18168,private
14395,wholesaler
14865,private
15093,wholesaler
12738,private
16150,wholesaler
17552,private
14236,private
17961,private
14573,private
17135,wholesaler
17396,wholesaler
12967,private
12686,private
13370,private
16883,private
13520,wholesaler
12841,wholesaler
16905,wholesaler
12427,private
17967,private
16891,private
14589,private
14156,wholesaler
14680,wholesaler
17884,private
12557,wholesaler
14083,private
13013,wholesaler
14210,private
16477,wholesaler
12600,private
16013,wholesaler
17949,wholesaler
12779,wholesaler
16926,private
17787,private
12682,wholesaler
14723,private
17954,wholesaler
17819,wholesaler
12712,wholesaler
15373,private
16140,private
17198,private
17238,wholesaler
12793,private
15769,wholesaler
14396,private
14898,wholesaler
12725,private
16725,private
12395,wholesaler
16455,private
13081,wholesaler
15545,private
17243,wholesaler
15465,wholesaler
13089,wholesaler
16033,wholesaler
13838,private
18055,wholesaler
15038,private
18109,wholesaler
13069,wholesaler
16241,wholesaler
14800,wholesaler
15708,wholesaler
16839,wholesaler
16168,wholesaler
16931,wholesaler
16814,wholesaler
15351,private
13269,wholesaler
14813,private
12567,wholesaler
17062,private
15332,private
14810,wholesaler
16353,wholesaler
18118,wholesaler
13831,private
13506,private
17796,private
15716,private
18156,private
16983,wholesaler
17059,wholesaler
16327,wholesaler
17211,wholesaler
17026,private
15570,wholesaler
15880,private
16718,private
15808,wholesaler
17858,wholesaler
16393,wholesaler
14527,wholesaler
14161,private
17863,wholesaler
16411,private
16402,private
15023,wholesaler
17402,private
15426,private
12647,wholesaler
15894,private
15867,wholesaler
12472,wholesaler
14506,private
15555,wholesaler
13034,private
15889,private
15953,private
16143,private
12720,wholesaler
16422,wholesaler
12747,wholesaler
15502,wholesaler
12763,private
14081,private
17965,wholesaler
14404,private
13579,private
13174,wholesaler
15987,wholesaler
17677,wholesaler
13652,private
17428,wholesaler
16858,private
16161,wholesaler
18219,private
14293,private
14748,wholesaler
16638,wholesaler
17674,private
12808,private
13094,wholesaler
15899,private
12708,wholesaler
15898,private
14443,private
17691,private
17227,private
15039,wholesaler
15919,private
13497,private
15860,private
14189,wholesaler
15304,private
14344,private
16719,wholesaler
15048,private
15301,wholesaler
14708,private
16898,private
14825,private
18113,private
17596,wholesaler
15078,wholesaler
14085,wholesaler
17860,private
13155,private
15028,private
16919,wholesaler
17259,private
17019,private
16722,wholesaler
15882,private
14667,wholesaler
16710,wholesaler
15984,wholesaler
14487,private
17682,wholesaler
16658,private
16550,wholesaler
17068,wholesaler
15356,wholesaler
17223,private
16817,private
13030,private
17191,wholesaler
15194,wholesaler
14409,wholesaler
16654,private
13495,private
17519,wholesaler
17218,private
17812,private
14215,wholesaler
15602,wholesaler
17320,private
12913,wholesaler
17869,private
13564,private
13963,private
17450,wholesaler
17091,wholesaler
17470,wholesaler
17616,private
15649,private
12681,wholesaler
14907,wholesaler
17735,wholesaler
16059,private
17720,private
15018,private
15838,wholesaler
14733,wholesaler
13756,wholesaler
14176,private
15353,private
18119,private
17491,wholesaler
14282,wholesaler
13569,private
14673,wholesaler
13488,wholesaler
16221,private
15002,private
15965,private
15024,private
17675,wholesaler
13769,wholesaler
16904,wholesaler
16086,private
13786,private
13880,wholesaler
13173,private
15858,wholesaler
15180,private
12347,wholesaler
14739,wholesaler
16293,private
17419,wholesaler
16775,private
16306,private
16950,private
17591,wholesaler
12839,wholesaler
13807,private
16125,private
15081,private
18102,wholesaler
16365,private
17870,wholesaler
14821,private
16863,private
13078,wholesaler
13267,wholesaler
13050,wholesaler
12709,wholesaler
15628,wholesaler
12386,private
16779,wholesaler
13599,wholesaler
13329,private
18077,wholesaler
14744,private
17406,private
15750,wholesaler
13983,wholesaler
13842,wholesaler
14796,wholesaler
12441,private
13199,wholesaler
14032,wholesaler
17706,wholesaler
16081,wholesaler
16525,wholesaler
17975,wholesaler
16122,wholesaler
13126,wholesaler
15973,private
16558,wholesaler
16893,private
15021,private
15529,wholesaler
15498,wholesaler
18043,private
16016,private
17722,wholesaler
17324,private
17341,private
14051,wholesaler
16233,private
16385,private
15032,wholesaler
16713,wholesaler
17213,wholesaler
18061,private
15916,private
15221,private
13455,private
13113,wholesaler
14217,private
17262,private
18259,private
17676,private
16679,private
18269,private
12766,wholesaler
15298,wholesaler
13523,wholesaler
15005,wholesaler
15581,private
15680,private
13649,private
17894,private
13270,private
14866,wholesaler
13077,private
13531,private
13848,wholesaler
13140,private
15713,private
17999,private
15347,private
14766,wholesaler
17340,wholesaler
13984,private
15996,private
14030,wholesaler
16596,private
16700,wholesaler
16011,wholesaler
17655,wholesaler
16717,wholesaler
14243,wholesaler
12963,private
15079,private
14437,private
12942,private
15660,wholesaler
18092,wholesaler
15358,wholesaler
13319,wholesaler
12481,wholesaler
12621,wholesaler
14299,wholesaler
18071,private
12683,wholesaler
12755,wholesaler
13854,wholesaler
12797,private
16782,private
13369,private
12494,private
17857,wholesaler
14932,private
12429,wholesaler
14987,private
14355,private
17526,private
14896,private
14440,private
13240,private
14479,private
16065,private
17430,private
16520,private
15945,private
15856,wholesaler
13102,wholesaler
15271,wholesaler
13982,wholesaler
15288,private
17978,private
16795,private
16519,private
17816,private
16255,wholesaler
17671,private
17646,private
12872,private
17339,private
17097,private
15192,private
15380,private
17950,private
12826,wholesaler
17456,private
