product_id,item,category,price
3851,white hanging heart t-light holder,Home Decor,2.55
3859,white metal lantern,Home Decor,3.39
885,cream cupid hearts coat hanger,"Health, Beauty & Personal Care",2.75
1873,knitted union flag hot water bottle,Party & Festive,3.39
2871,red woolly hottie white heart.,"Health, Beauty & Personal Care",3.39
3085,set 7 babushka nesting boxes,Home Decor,7.65
1487,glass star frosted t-light holder,Kitchen & Dining,4.25
1609,hand warmer union jack,"Health, Beauty & Personal Care",1.85
1606,hand warmer red polka dot,"Health, Beauty & Personal Care",1.85
209,assorted colour bird ornament,Home Decor,1.69
2702,poppy's playhouse bedroom,Toys & Games,2.1
2703,poppy's playhouse kitchen,Toys & Games,2.1
1246,feltcraft princess charlotte doll,Toys & Games,3.75
1766,ivory knitted mug cosy,Kitchen & Dining,1.65
525,box of 6 assorted colour teaspoons,Kitchen & Dining,4.25
531,box of vintage jigsaw blocks,Toys & Games,4.95
530,box of vintage alphabet blocks,Stationery & Craft,9.95
1703,home building block word,Toys & Games,5.95
1998,love building block word,Toys & Games,5.95
2774,recipe box with metal heart,Home Decor,7.95
1058,doormat new england,Home Decor,7.95
1795,jam making set with jars,Kitchen & Dining,4.25
2793,red coat rack paris fashion,Apparel & Accessories,4.95
3991,yellow coat rack paris fashion,Apparel & Accessories,4.95
413,blue coat rack paris fashion,Apparel & Accessories,4.95
278,bath building block word,Toys & Games,5.95
138,alarm clock bakelike pink,Apparel & Accessories,3.75
139,alarm clock bakelike red,Home Decor,3.75
135,alarm clock bakelike green,Home Decor,3.75
2389,panda and bunnies sticker sheet,Kitchen & Dining,0.85
3482,stars gift tape,Stationery & Craft,0.65
1752,inflatable political globe,Home Decor,0.85
3730,vintage heads and tails card game,Toys & Games,1.25
3225,set/2 red retrospot tea towels,"Health, Beauty & Personal Care",2.95
2990,round snack boxes set of4 woodland,Kitchen & Dining,2.95
3446,spaceboy lunch box,Toys & Games,1.95
2028,lunch box i love london,Kitchen & Dining,1.95
800,circus parade lunch box,Kitchen & Dining,1.95
688,charlotte bag dolly girl design,Toys & Games,0.85
2867,red toadstool led night light,Garden & Outdoor,1.65
3062,set 2 tea towels i love london,"Health, Beauty & Personal Care",2.95
3759,vintage seaside jigsaw puzzles,Toys & Games,3.75
2119,mini jigsaw circus parade,Toys & Games,0.42
2125,mini jigsaw spaceboy,Toys & Games,0.42
2129,mini paint set vintage,Stationery & Craft,0.65
2711,postage,Administrative,18.0
2408,paper chain kit 50's christmas,Seasonal,2.55
1124,edwardian parasol red,Garden & Outdoor,4.95
2895,retro coffee mugs assorted,Kitchen & Dining,1.06
3031,save the planet mug,Kitchen & Dining,1.06
3700,vintage billboard drink me mug,Kitchen & Dining,1.06
3701,vintage billboard love/hate mug,Kitchen & Dining,1.06
3899,wood 2 drawer cabinet white finish,Home Decor,4.95
3902,wood s/3 cabinet ant white finish,Home Decor,6.95
3917,wooden picture frame white finish,Home Decor,2.1
3913,wooden frame antique white,Home Decor,2.55
3683,victorian sewing box large,Stationery & Craft,10.95
1729,hot water bottle tea and sympathy,"Health, Beauty & Personal Care",3.45
2807,red hanging heart t-light holder,Home Decor,2.55
1826,jumbo bag pink polkadot,Apparel & Accessories,1.95
1816,jumbo  bag baroque black white,Apparel & Accessories,1.95
1820,jumbo bag charlie and lola toys,Toys & Games,2.95
3495,strawberry charlotte bag,Apparel & Accessories,0.85
2788,red 3 piece retrospot cutlery set,Kitchen & Dining,3.75
400,blue 3 piece polkadot cutlery set,Kitchen & Dining,3.75
3272,set/6 red spotty paper plates,Kitchen & Dining,0.85
2018,lunch bag red retrospot,Kitchen & Dining,1.65
3499,strawberry lunch box with cutlery,Kitchen & Dining,2.55
2030,lunch box with cutlery retrospot,Kitchen & Dining,2.55
2363,pack of 72 retrospot cake cases,Kitchen & Dining,0.42
2359,pack of 60 dinosaur cake cases,Toys & Games,0.55
2361,pack of 60 pink paisley cake cases,Kitchen & Dining,0.55
100,60 teatime fairy cake cases,Kitchen & Dining,0.55
3590,tomato charlie+lola coaster set,Kitchen & Dining,2.95
675,charlie & lola wastepaper bin flora,Stationery & Craft,1.25
2792,red charlie+lola personal doorsign,Home Decor,0.38
1841,jumbo storage bag suki,Toys & Games,1.95
1827,jumbo bag pink vintage paisley,Apparel & Accessories,1.95
1794,jam making set printed,Kitchen & Dining,1.45
2921,retrospot tea set ceramic 11 pc,Kitchen & Dining,4.25
1452,girly pink tool set,Garden & Outdoor,4.95
1839,jumbo shopper vintage red paisley,Apparel & Accessories,1.95
133,"airline lounge,metal sign",Home Decor,2.1
3869,white spot red ceramic drawer knob,Kitchen & Dining,1.25
2798,red drawer knob acrylic edwardian,Home Decor,1.25
827,clear drawer knob acrylic edwardian,Home Decor,1.25
2486,photo clip line,Home Decor,1.25
1219,felt egg cosy chicken,Kitchen & Dining,0.85
2503,piggy bank retrospot,Kitchen & Dining,2.55
3344,skull shoulder bag,Apparel & Accessories,1.65
4005,you're confusing me metal sign,Home Decor,1.69
857,cook with wine metal sign,Kitchen & Dining,1.95
1439,gin + tonic diet metal sign,Home Decor,2.1
3990,yellow breakfast cup and saucer,Kitchen & Dining,2.95
2529,pink breakfast cup and saucer,Kitchen & Dining,2.95
2411,paper chain kit retrospot,Toys & Games,2.95
3377,small heart flowers hook,Home Decor,0.85
3559,tea time des tea cosy,Kitchen & Dining,2.55
1221,felt egg cosy white rabbit,Kitchen & Dining,0.85
4030,zinc willie winkie  candle stick,Home Decor,0.85
661,ceramic cherry cake money bank,Kitchen & Dining,1.45
2916,retrospot large milk jug,Kitchen & Dining,4.95
3182,set of 6 funky beakers,Kitchen & Dining,2.95
1121,edwardian parasol black,Garden & Outdoor,5.95
1122,edwardian parasol natural,Garden & Outdoor,5.95
666,ceramic strawberry cake money bank,Kitchen & Dining,1.45
452,blue owl soft toy,Toys & Games,2.95
267,balloon art make your own flowers,Party & Festive,1.95
1477,glass cloche small,Kitchen & Dining,3.95
1588,gumball monochrome coat rack,Apparel & Accessories,1.06
1050,doormat fancy font home sweet home,Garden & Outdoor,6.75
3761,vintage snakes & ladders,Stationery & Craft,3.75
745,chocolate calculator,Stationery & Craft,1.65
2784,recycling bag retrospot,Kitchen & Dining,2.1
3597,toy tidy pink polkadot,Toys & Games,1.85
174,antique glass dressing table pot,Kitchen & Dining,2.95
1760,ivory giant garden thermometer,Garden & Outdoor,5.95
43,3 tier cake tin green and cream,"Health, Beauty & Personal Care",14.95
44,3 tier cake tin red and cream,"Health, Beauty & Personal Care",14.95
3067,set 3 wicker oval baskets w lids,Home Decor,16.95
3901,wood black board ant white finish,Home Decor,6.45
845,colour glass t-light holder hanging,Kitchen & Dining,0.65
1632,hanging metal heart lantern,Home Decor,1.65
1630,hanging medina lantern small,Home Decor,2.95
2219,natural slate heart chalkboard,Stationery & Craft,2.95
1666,heart of wicker small,Home Decor,1.45
1665,heart of wicker large,Home Decor,2.55
3858,white lovebird lantern,Home Decor,2.95
818,classic metal birdcage plant holder,Garden & Outdoor,12.75
889,cream heart card holder,"Health, Beauty & Personal Care",3.95
1171,enamel flower jug cream,"Health, Beauty & Personal Care",5.95
1170,enamel fire bucket cream,"Health, Beauty & Personal Care",6.95
1167,enamel bread bin cream,"Health, Beauty & Personal Care",10.95
1822,jumbo bag dolly girl design,Toys & Games,1.95
3600,traditional christmas ribbons,Seasonal,1.25
2293,organiser wood antique white,Home Decor,8.5
2015,lunch bag dolly girl design,Toys & Games,1.65
3883,white wire egg holder,Home Decor,4.95
1828,jumbo bag red retrospot,Kitchen & Dining,1.65
738,chilli lights,Home Decor,3.82
1975,light garland butterfiles pink,Party & Festive,3.37
3916,wooden owls light garland,Party & Festive,3.37
1205,fairy tale cottage nightlight,Stationery & Craft,1.45
1705,home small wood letters,Garden & Outdoor,4.95
1444,gingham heart  doorstop red,Apparel & Accessories,4.25
1271,five heart hanging decoration,Party & Festive,2.95
205,assorted bottle top  magnets,Kitchen & Dining,0.42
1381,fridge magnets us diner assorted,Home Decor,0.85
1717,homemade jam scented candles,"Health, Beauty & Personal Care",1.45
1380,fridge magnets les enfants assorted,Apparel & Accessories,0.85
2964,rose caravan doorstop,Apparel & Accessories,6.75
79,5 hook hanger magic toadstool,Garden & Outdoor,1.65
765,christmas lights 10 reindeer,Seasonal,8.5
3765,vintage union jack cushion cover,Stationery & Craft,4.95
3124,set of 3 coloured  flying ducks,Home Decor,5.45
3126,set of 3 gold flying ducks,Home Decor,6.35
2854,red retrospot umbrella,Kitchen & Dining,5.95
388,black/blue polkadot umbrella,Apparel & Accessories,5.95
2796,red diner wall clock,Home Decor,8.5
418,blue diner wall clock,Home Decor,8.5
1757,ivory diner wall clock,Home Decor,8.5
